              x              v           E(1)           V(1)           E(2)           V(2)           E(3)           V(3)           E(4)           V(4)           E(5)           V(5)           E(6)           V(6)           E(7)           V(7)           E(8)           V(8)           E(9)           V(9)          E(10)          V(10)
      0.8250000      0.0000000      0.3286450      0.3307842      1.3101616      1.3228603      2.0488309      2.2600480      2.9549028      2.9797139      5.2141415      5.1922039      7.8124505      7.6752563      8.4172404      8.2900473     11.6303715     11.6484055     15.4698859     15.4752281     17.8304225     17.7995477
      0.8500000      0.0000000      0.3286450      0.3308486      1.3101616      1.3231526      2.0488309      2.2636946      2.9549028      2.9799529      5.2141415      5.1924909      7.8124505      7.6821133      8.4172404      8.2978502     11.6303715     11.6454589     15.4698859     15.4683424     17.8304225     17.7787350
      0.8750000      0.0000000      0.3286450      0.3309126      1.3101616      1.3234343      2.0488309      2.2670661      2.9549028      2.9801457      5.2141415      5.1928485      7.8124505      7.6896068      8.4172404      8.3062812     11.6303715     11.6424027     15.4698859     15.4614716     17.8304225     17.7584983
      0.9000000      0.0000000      0.3286450      0.3309761      1.3101616      1.3237051      2.0488309      2.2701581      2.9549028      2.9802918      5.2141415      5.1932754      7.8124505      7.6977001      8.4172404      8.3152959     11.6303715     11.6392589     15.4698859     15.4546821     17.8304225     17.7390631
      0.9250000      0.0000000      0.3286450      0.3310391      1.3101616      1.3239648      2.0488309      2.2729667      2.9549028      2.9803910      5.2141415      5.1937704      7.8124505      7.7063537      8.4172404      8.3248470     11.6303715     11.6360506     15.4698859     15.4480396     17.8304225     17.7206461
      0.9500000      0.0000000      0.3286450      0.3311016      1.3101616      1.3242132      2.0488309      2.2754883      2.9549028      2.9804431      5.2141415      5.1943317      7.8124505      7.7155253      8.4172404      8.3348841     11.6303715     11.6328010     15.4698859     15.4416084     17.8304225     17.7034524
      0.9750000      0.0000000      0.3286450      0.3311637      1.3101616      1.3244501      2.0488309      2.2777196      2.9549028      2.9804481      5.2141415      5.1949576      7.8124505      7.7251702      8.4172404      8.3453545     11.6303715     11.6295338     15.4698859     15.4354505     17.8304225     17.6876736
      1.0000000      0.0000000      0.3286450      0.3312252      1.3101616      1.3246753      2.0488309      2.2796579      2.9549028      2.9804059      5.2141415      5.1956460      7.8124505      7.7352413      8.4172404      8.3562030     11.6303715     11.6262726     15.4698859     15.4296256     17.8304225     17.6734857
      1.0250000      0.0000000      0.3286450      0.3312862      1.3101616      1.3248886      2.0488309      2.2813006      2.9549028      2.9803166      5.2141415      5.1963947      7.8124505      7.7456893      8.4172404      8.3673727     11.6303715     11.6230412     15.4698859     15.4241900     17.8304225     17.6610466
      1.0500000      0.0000000      0.3286450      0.3313466      1.3101616      1.3250899      2.0488309      2.2826456      2.9549028      2.9801804      5.2141415      5.1972012      7.8124505      7.7564634      8.4172404      8.3788047     11.6303715     11.6198631     15.4698859     15.4191962     17.8304225     17.6504951
      1.0750000      0.0000000      0.3286450      0.3314065      1.3101616      1.3252789      2.0488309      2.2836911      2.9549028      2.9799975      5.2141415      5.1980629      7.8124505      7.7675108      8.4172404      8.3904389     11.6303715     11.6167614     15.4698859     15.4146925     17.8304225     17.6419487
      1.1000000      0.0000000      0.3286450      0.3314658      1.3101616      1.3254556      2.0488309      2.2844360      2.9549028      2.9797682      5.2141415      5.1989771      7.8124505      7.7787776      8.4172404      8.4022141     11.6303715     11.6137586     15.4698859     15.4107224     17.8304225     17.6355027
      1.1250000      0.0000000      0.3286450      0.3315245      1.3101616      1.3256197      2.0488309      2.2848791      2.9549028      2.9794931      5.2141415      5.1999406      7.8124505      7.7902089      8.4172404      8.4140683     11.6303715     11.6108766     15.4698859     15.4073244     17.8304225     17.6312288
      1.1500000      0.0000000      0.3286450      0.3315827      1.3101616      1.3257712      2.0488309      2.2850200      2.9549028      2.9791725      5.2141415      5.2009504      7.8124505      7.8017487      8.4172404      8.4259392     11.6303715     11.6081363     15.4698859     15.4045312     17.8304225     17.6291748
      1.1750000      0.0000000      0.3286450      0.3316402      1.3101616      1.3259099      2.0488309      2.2848585      2.9549028      2.9788070      5.2141415      5.2020032      7.8124505      7.8133409      8.4172404      8.4377644     11.6303715     11.6055576     15.4698859     15.4023700     17.8304225     17.6293634
      1.2000000      0.0000000      0.3286450      0.3316972      1.3101616      1.3260357      2.0488309      2.2843947      2.9549028      2.9783975      5.2141415      5.2030956      7.8124505      7.8249286      8.4172404      8.4494816     11.6303715     11.6031593     15.4698859     15.4008615     17.8304225     17.6317927
